protocol,port,description
UDP,2123,GTP-Control Plane (3GPP)
TCP,2124,ELATELINK
UDP,2124,ELATELINK
TCP,2125,LOCKSTEP
UDP,2125,LOCKSTEP
TCP,2126,PktCable-COPS
UDP,2126,PktCable-COPS
TCP,2127,INDEX-PC-WB
UDP,2127,INDEX-PC-WB
TCP,2128,Net Steward Control
UDP,2128,Net Steward Control
TCP,2129,cs-live.com
UDP,2129,cs-live.com
TCP,2130,XDS
UDP,2130,XDS
TCP,2131,Avantageb2b
UDP,2131,Avantageb2b
TCP,2132,SoleraTec End Point Map
UDP,2132,SoleraTec End Point Map
TCP,2133,ZYMED-ZPP
UDP,2133,ZYMED-ZPP
TCP,2134,AVENUE
UDP,2134,AVENUE
TCP,2135,Grid Resource Information Server
UDP,2135,Grid Resource Information Server
TCP,2136,APPWORXSRV
UDP,2136,APPWORXSRV
TCP,2137,CONNECT
UDP,2137,CONNECT
TCP,2138,UNBIND-CLUSTER
UDP,2138,UNBIND-CLUSTER
TCP,2139,IAS-AUTH
UDP,2139,IAS-AUTH
TCP,2140,IAS-REG
UDP,2140,IAS-REG
TCP,2141,IAS-ADMIND
UDP,2141,IAS-ADMIND
TCP,2142,TDM OVER IP
UDP,2142,TDM OVER IP
TCP,2143,Live Vault Job Control
UDP,2143,Live Vault Job Control
TCP,2144,Live Vault Fast Object Transfer
UDP,2144,Live Vault Fast Object Transfer
TCP,2145,Live Vault Remote Diagnostic Console Support
UDP,2145,Live Vault Remote Diagnostic Console Support
TCP,2146,Live Vault Admin Event Notification
UDP,2146,Live Vault Admin Event Notification
TCP,2147,Live Vault Authentication
UDP,2147,Live Vault Authentication
TCP,2148,VERITAS UNIVERSAL COMMUNICATION LAYER
UDP,2148,VERITAS UNIVERSAL COMMUNICATION LAYER
TCP,2149,ACPTSYS
UDP,2149,ACPTSYS
TCP,2150,DYNAMIC3D
UDP,2150,DYNAMIC3D
TCP,2151,DOCENT
UDP,2151,DOCENT
TCP,2152,GTP-User Plane (3GPP)
UDP,2152,GTP-User Plane (3GPP)
TCP,2153,Control Protocol
UDP,2153,Control Protocol
TCP,2154,Standard Protocol
UDP,2154,Standard Protocol
TCP,2155,Bridge Protocol
UDP,2155,Bridge Protocol
TCP,2156,Talari Reliable Protocol
UDP,2156,Talari Reliable Protocol
TCP,2157,Xerox Network Document Scan Protocol
UDP,2157,Xerox Network Document Scan Protocol
TCP,2158,TouchNetPlus Service
UDP,2158,TouchNetPlus Service
TCP,2159,GDB Remote Debug Port
UDP,2159,GDB Remote Debug Port
TCP,2160,APC 2160
UDP,2160,APC 2160
TCP,2161,APC 2161
UDP,2161,APC 2161
TCP,2162,Navisphere
UDP,2162,Navisphere
TCP,2163,Navisphere Secure
UDP,2163,Navisphere Secure
TCP,2164,Dynamic DNS Version 3
UDP,2164,Dynamic DNS Version 3
TCP,2165,X-Bone API
UDP,2165,X-Bone API
TCP,2166,iwserver
UDP,2166,iwserver
TCP,2167,Raw Async Serial Link
UDP,2167,Raw Async Serial Link
TCP,2168,easy-soft Multiplexer
UDP,2168,easy-soft Multiplexer
TCP,2169,Backbone for Academic Information Notification (BRAIN)
UDP,2169,Backbone for Academic Information Notification (BRAIN)
TCP,2170,EyeTV Server Port
UDP,2170,EyeTV Server Port
TCP,2171,MS Firewall Storage
UDP,2171,MS Firewall Storage
TCP,2172,MS Firewall SecureStorage
UDP,2172,MS Firewall SecureStorage
TCP,2173,MS Firewall Replication
UDP,2173,MS Firewall Replication
TCP,2174,MS Firewall Intra Array
UDP,2174,MS Firewall Intra Array
TCP,2175,Microsoft Desktop AirSync Protocol
UDP,2175,Microsoft Desktop AirSync Protocol
TCP,2176,Microsoft ActiveSync Remote API
UDP,2176,Microsoft ActiveSync Remote API
TCP,2177,qWAVE Bandwidth Estimate
UDP,2177,qWAVE Bandwidth Estimate
TCP,2178,Peer Services for BITS
UDP,2178,Peer Services for BITS
TCP,2179,Microsoft RDP for virtual machines
UDP,2179,Microsoft RDP for virtual machines
TCP,2180,Millicent Vendor Gateway Server
UDP,2180,Millicent Vendor Gateway Server
TCP,2181,eforward
UDP,2181,eforward
TCP,2182,CGN status
UDP,2182,CGN status
TCP,2183,Code Green configuration
UDP,2183,Code Green configuration
TCP,2184,NVD User
UDP,2184,NVD User
TCP,2185,OnBase Distributed Disk Services
UDP,2185,OnBase Distributed Disk Services
TCP,2186,Guy-Tek Automated Update Applications
UDP,2186,Guy-Tek Automated Update Applications
TCP,2187,Sepehr System Management Control
UDP,2187,Sepehr System Management Data
TCP,2188,Radware Resource Pool Manager
UDP,2188,Reserved
TCP,2189,Secure Radware Resource Pool Manager
UDP,2189,Reserved
TCP,2190,TiVoConnect Beacon
UDP,2190,TiVoConnect Beacon
TCP,2191,TvBus Messaging
UDP,2191,TvBus Messaging
TCP,2192,ASDIS software management
UDP,2192,ASDIS software management
TCP,2193,Dr.Web Enterprise Management Service
UDP,2193,Dr.Web Enterprise Management Service
TCP,2197,MNP data exchange
UDP,2197,MNP data exchange
TCP,2198,OneHome Remote Access
UDP,2198,OneHome Remote Access
TCP,2199,OneHome Service Port
UDP,2199,OneHome Service Port
TCP,2200,Reserved
UDP,2200,Reserved
TCP,2201,Advanced Training System Program
UDP,2201,Advanced Training System Program
TCP,2202,Int. Multimedia Teleconferencing Cosortium
UDP,2202,Int. Multimedia Teleconferencing Cosortium
TCP,2203,b2 Runtime Protocol
UDP,2203,b2 Runtime Protocol
TCP,2204,b2 License Server
UDP,2204,b2 License Server
TCP,2205,Java Presentation Server
UDP,2205,Java Presentation Server
TCP,2206,HP OpenCall bus
UDP,2206,HP OpenCall bus
TCP,2207,HP Status and Services
UDP,2207,HP Status and Services
TCP,2208,HP I/O Backend
UDP,2208,HP I/O Backend
TCP,2209,HP RIM for Files Portal Service
UDP,2209,HP RIM for Files Portal Service
TCP,2210,NOAAPORT Broadcast Network
UDP,2210,NOAAPORT Broadcast Network
TCP,2211,EMWIN
UDP,2211,EMWIN
TCP,2212,LeeCO POS Server Service
UDP,2212,LeeCO POS Server Service
TCP,2213,Kali
UDP,2213,Kali
TCP,2214,RDQ Protocol Interface
UDP,2214,RDQ Protocol Interface
TCP,2215,IPCore.co.za GPRS
UDP,2215,IPCore.co.za GPRS
TCP,2216,VTU data service
UDP,2216,VTU data service
TCP,2217,GoToDevice Device Management
UDP,2217,GoToDevice Device Management
TCP,2218,Bounzza IRC Proxy
UDP,2218,Bounzza IRC Proxy
TCP,2219,NetIQ NCAP Protocol
UDP,2219,NetIQ NCAP Protocol
TCP,2220,NetIQ End2End
UDP,2220,NetIQ End2End
TCP,2221,EtherNet/IP over TLS
UDP,2221,EtherNet/IP over DTLS
TCP,2222,EtherNet/IP I/O
UDP,2222,EtherNet/IP I/O
TCP,2223,Rockwell CSP2
UDP,2223,Rockwell CSP2
TCP,2224,Easy Flexible Internet/Multiplayer Games
UDP,2224,Easy Flexible Internet/Multiplayer Games
TCP,2225,Resource Connection Initiation Protocol
UDP,2225,Reserved
SCTP,2225,Resource Connection Initiation Protocol
TCP,2226,Digital Instinct DRM
UDP,2226,Digital Instinct DRM
TCP,2227,DI Messaging Service
UDP,2227,DI Messaging Service
TCP,2228,eHome Message Server
UDP,2228,eHome Message Server
TCP,2229,DataLens Service
UDP,2229,DataLens Service
TCP,2230,MetaSoft Job Queue Administration Service
UDP,2230,MetaSoft Job Queue Administration Service
TCP,2231,WiMAX ASN Control Plane Protocol
UDP,2231,WiMAX ASN Control Plane Protocol
TCP,2232,IVS Video default
UDP,2232,IVS Video default
TCP,2233,INFOCRYPT
UDP,2233,INFOCRYPT
TCP,2234,DirectPlay
UDP,2234,DirectPlay
TCP,2235,Sercomm-WLink
UDP,2235,Sercomm-WLink
TCP,2236,Nani
UDP,2236,Nani
TCP,2237,Optech Port1 License Manager
UDP,2237,Optech Port1 License Manager
TCP,2238,AVIVA SNA SERVER
UDP,2238,AVIVA SNA SERVER
TCP,2239,Image Query
UDP,2239,Image Query
TCP,2240,RECIPe
UDP,2240,RECIPe
TCP,2241,IVS Daemon
UDP,2241,IVS Daemon
TCP,2242,Folio Remote Server
UDP,2242,Folio Remote Server
TCP,2243,Magicom Protocol
UDP,2243,Magicom Protocol
TCP,2244,NMS Server
UDP,2244,NMS Server
TCP,2245,HaO
UDP,2245,HaO
TCP,2246,PacketCable MTA Addr Map
UDP,2246,PacketCable MTA Addr Map
TCP,2247,Antidote Deployment Manager Service
UDP,2247,Antidote Deployment Manager Service
TCP,2248,User Management Service
UDP,2248,User Management Service
TCP,2249,RISO File Manager Protocol
UDP,2249,RISO File Manager Protocol
TCP,2250,remote-collab
UDP,2250,remote-collab
TCP,2251,Distributed Framework Port
UDP,2251,Distributed Framework Port
TCP,2252,NJENET using SSL
UDP,2252,NJENET using SSL
TCP,2253,DTV Channel Request
UDP,2253,DTV Channel Request
TCP,2254,Seismic P.O.C. Port
UDP,2254,Seismic P.O.C. Port
TCP,2255,VRTP - ViRtue Transfer Protocol
UDP,2255,VRTP - ViRtue Transfer Protocol
TCP,2256,PCC MFP
UDP,2256,PCC MFP
TCP,2257,simple text/file transfer
UDP,2257,simple text/file transfer
TCP,2258,Rotorcraft Communications Test System
UDP,2258,Rotorcraft Communications Test System
TCP,2259,BIF identifiers resolution service
UDP,2259,BIF identifiers resolution service
TCP,2260,APC 2260
UDP,2260,APC 2260
TCP,2261,CoMotion Master Server
UDP,2261,CoMotion Master Server
TCP,2262,CoMotion Backup Server
UDP,2262,CoMotion Backup Server
TCP,2263,ECweb Configuration Service
UDP,2263,ECweb Configuration Service
TCP,2264,Audio Precision Apx500 API Port 1
UDP,2264,Audio Precision Apx500 API Port 1
TCP,2265,Audio Precision Apx500 API Port 2
UDP,2265,Audio Precision Apx500 API Port 2
TCP,2266,M-Files Server
UDP,2266,M-files Server
TCP,2267,OntoBroker
UDP,2267,OntoBroker
TCP,2268,AMT
UDP,2268,AMT
TCP,2269,MIKEY
UDP,2269,MIKEY
TCP,2270,starSchool
UDP,2270,starSchool
TCP,2271,Secure Meeting Maker Scheduling
UDP,2271,Secure Meeting Maker Scheduling
TCP,2272,Meeting Maker Scheduling
UDP,2272,Meeting Maker Scheduling
TCP,2273,MySQL Instance Manager
UDP,2273,MySQL Instance Manager
TCP,2274,PCTTunneller
UDP,2274,PCTTunneller
TCP,2275,iBridge Conferencing
UDP,2275,iBridge Conferencing
TCP,2276,iBridge Management
UDP,2276,iBridge Management
TCP,2277,Bt device control proxy
UDP,2277,Bt device control proxy
TCP,2278,Simple Stacked Sequences Database
UDP,2278,Simple Stacked Sequences Database
TCP,2279,xmquery
UDP,2279,xmquery
TCP,2280,LNVPOLLER
UDP,2280,LNVPOLLER
TCP,2281,LNVCONSOLE
UDP,2281,LNVCONSOLE
TCP,2282,LNVALARM
UDP,2282,LNVALARM
TCP,2283,LNVSTATUS
UDP,2283,LNVSTATUS
TCP,2284,LNVMAPS
UDP,2284,LNVMAPS
TCP,2285,LNVMAILMON
UDP,2285,LNVMAILMON
TCP,2286,NAS-Metering
UDP,2286,NAS-Metering
TCP,2287,DNA
UDP,2287,DNA
TCP,2288,NETML
UDP,2288,NETML
TCP,2289,Lookup dict server
UDP,2289,Lookup dict server
TCP,2290,Sonus Logging Services
UDP,2290,Sonus Logging Services
TCP,2291,EPSON Advanced Printer Share Protocol
UDP,2291,EPSON Advanced Printer Share Protocol
TCP,2292,Sonus Element Management Services
UDP,2292,Sonus Element Management Services
TCP,2293,Network Platform Debug Manager
UDP,2293,Network Platform Debug Manager
TCP,2294,Konshus License Manager (FLEX)
UDP,2294,Konshus License Manager (FLEX)
TCP,2295,Advant License Manager
UDP,2295,Advant License Manager
TCP,2296,Theta License Manager (Rainbow)
UDP,2296,Theta License Manager (Rainbow)
TCP,2297,D2K DataMover 1
UDP,2297,D2K DataMover 1
TCP,2298,D2K DataMover 2
UDP,2298,D2K DataMover 2
TCP,2299,PC Telecommute
UDP,2299,PC Telecommute
TCP,2300,CVMMON
UDP,2300,CVMMON
TCP,2301,Compaq HTTP
UDP,2301,Compaq HTTP
TCP,2302,Bindery Support
UDP,2302,Bindery Support
TCP,2303,Proxy Gateway
UDP,2303,Proxy Gateway
TCP,2304,Attachmate UTS
UDP,2304,Attachmate UTS
TCP,2305,MT ScaleServer
UDP,2305,MT ScaleServer
TCP,2306,TAPPI BoxNet
UDP,2306,TAPPI BoxNet
TCP,2307,pehelp
UDP,2307,pehelp
TCP,2308,sdhelp
UDP,2308,sdhelp
TCP,2309,SD Server
UDP,2309,SD Server
TCP,2310,SD Client
UDP,2310,SD Client
TCP,2311,Message Service
UDP,2311,Message Service
TCP,2312,WANScaler Communication Service
UDP,2312,WANScaler Communication Service
TCP,2313,IAPP (Inter Access Point Protocol)
UDP,2313,IAPP (Inter Access Point Protocol)
TCP,2314,CR WebSystems
UDP,2314,CR WebSystems
TCP,2315,Precise Sft.
UDP,2315,Precise Sft.
TCP,2316,SENT License Manager
UDP,2316,SENT License Manager
TCP,2317,Attachmate G32
UDP,2317,Attachmate G32
TCP,2318,Cadence Control
UDP,2318,Cadence Control
TCP,2319,InfoLibria
UDP,2319,InfoLibria
TCP,2320,Siebel NS
UDP,2320,Siebel NS
TCP,2321,RDLAP
UDP,2321,RDLAP
TCP,2322,ofsd
UDP,2322,ofsd
TCP,2323,3d-nfsd
UDP,2323,3d-nfsd
TCP,2324,Cosmocall
UDP,2324,Cosmocall
TCP,2325,ANSYS Licensing Interconnect
UDP,2325,ANSYS Licensing Interconnect
TCP,2326,IDCP
UDP,2326,IDCP
TCP,2327,xingcsm
UDP,2327,xingcsm
TCP,2328,Netrix SFTM
UDP,2328,Netrix SFTM
TCP,2329,NVD
UDP,2329,NVD
TCP,2330,TSCCHAT
UDP,2330,TSCCHAT
TCP,2331,AGENTVIEW
UDP,2331,AGENTVIEW
TCP,2332,RCC Host
UDP,2332,RCC Host
TCP,2333,SNAPP
UDP,2333,SNAPP
TCP,2334,ACE Client Auth
UDP,2334,ACE Client Auth
TCP,2335,ACE Proxy
UDP,2335,ACE Proxy
TCP,2336,Apple UG Control
UDP,2336,Apple UG Control
TCP,2337,ideesrv
UDP,2337,ideesrv
TCP,2338,Norton Lambert
UDP,2338,Norton Lambert
TCP,2339,3Com WebView
UDP,2339,3Com WebView
TCP,2340,WRS Registry
UDP,2340,WRS Registry
TCP,2341,XIO Status
UDP,2341,XIO Status
TCP,2342,Seagate Manage Exec
UDP,2342,Seagate Manage Exec
TCP,2343,nati logos
UDP,2343,nati logos
TCP,2344,fcmsys
UDP,2344,fcmsys
TCP,2345,dbm
UDP,2345,dbm
TCP,2346,Game Connection Port
UDP,2346,Game Connection Port
TCP,2347,Game Announcement and Location
UDP,2347,Game Announcement and Location
TCP,2348,Information to query for game status
UDP,2348,Information to query for game status
TCP,2349,Diagnostics Port
UDP,2349,Diagnostics Port
TCP,2350,Pharos Booking Server
UDP,2350,Pharos Booking Server
TCP,2351,psrserver
UDP,2351,psrserver
TCP,2352,pslserver
UDP,2352,pslserver
TCP,2353,pspserver
UDP,2353,pspserver
TCP,2354,psprserver
UDP,2354,psprserver
TCP,2355,psdbserver
UDP,2355,psdbserver
TCP,2356,GXT License Managemant
UDP,2356,GXT License Managemant
TCP,2357,UniHub Server
UDP,2357,UniHub Server
TCP,2358,Futrix
UDP,2358,Futrix
TCP,2359,FlukeServer
UDP,2359,FlukeServer
TCP,2360,NexstorIndLtd
UDP,2360,NexstorIndLtd
TCP,2361,TL1
UDP,2361,TL1
TCP,2362,digiman
UDP,2362,digiman
TCP,2363,Media Central NFSD
UDP,2363,Media Central NFSD
TCP,2364,OI-2000
UDP,2364,OI-2000
TCP,2365,dbref
UDP,2365,dbref
TCP,2366,qip-login
UDP,2366,qip-login
TCP,2367,Service Control
UDP,2367,Service Control
TCP,2368,OpenTable
UDP,2368,OpenTable
TCP,2369,Blockchain Identifier InFrastructure P2P
UDP,2369,Blockchain Identifier InFrastructure P2P
TCP,2370,L3-HBMon
UDP,2370,L3-HBMon
TCP,2371,Remote Device Access
UDP,2371,Reserved
TCP,2372,LanMessenger
UDP,2372,LanMessenger
TCP,2373,Remograph License Manager
UDP,2373,Reserved
TCP,2374,Hydra RPC
UDP,2374,Reserved
TCP,2375,Docker REST API (plain text)
UDP,2375,Reserved
TCP,2376,Docker REST API (ssl)
TCP,2377,RPC interface for Docker Swarm
UDP,2377,Reserved
TCP,2378,Reserved
UDP,2378,DALI lighting control
TCP,2379,etcd client communication
UDP,2379,Reserved
TCP,2380,etcd server to server communication
UDP,2380,Reserved
TCP,2381,Compaq HTTPS
UDP,2381,Compaq HTTPS
TCP,2382,Microsoft OLAP
UDP,2382,Microsoft OLAP
TCP,2383,Microsoft OLAP
UDP,2383,Microsoft OLAP
TCP,2384,SD-REQUEST
UDP,2384,SD-CAPACITY
TCP,2385,SD-DATA
UDP,2385,SD-DATA
TCP,2386,Virtual Tape
UDP,2386,Virtual Tape
TCP,2387,VSAM Redirector
UDP,2387,VSAM Redirector
TCP,2388,MYNAH AutoStart
UDP,2388,MYNAH AutoStart
TCP,2389,OpenView Session Mgr
UDP,2389,OpenView Session Mgr
TCP,2390,RSMTP
UDP,2390,RSMTP
TCP,2391,3COM Net Management
UDP,2391,3COM Net Management
TCP,2392,Tactical Auth
UDP,2392,Tactical Auth
TCP,2393,MS OLAP 1
UDP,2393,MS OLAP 1
TCP,2394,MS OLAP 2
UDP,2394,MS OLAP 2
TCP,2395,LAN900 Remote
UDP,2395,LAN900 Remote
TCP,2396,Wusage
UDP,2396,Wusage
TCP,2397,NCL
UDP,2397,NCL
TCP,2398,Orbiter
UDP,2398,Orbiter
TCP,2399,"""FileMaker"
UDP,2399,"""FileMaker"
TCP,2400,OpEquus Server
UDP,2400,OpEquus Server
TCP,2401,cvspserver
UDP,2401,cvspserver
TCP,2402,TaskMaster 2000 Server
UDP,2402,TaskMaster 2000 Server
TCP,2403,TaskMaster 2000 Web
UDP,2403,TaskMaster 2000 Web
TCP,2404,IEC 60870-5-104 process control over IP
UDP,2404,IEC 60870-5-104 process control over IP
TCP,2405,TRC Netpoll
UDP,2405,TRC Netpoll
TCP,2406,JediServer
UDP,2406,JediServer
TCP,2407,Orion
UDP,2407,Orion
TCP,2408,CloudFlare Railgun Web Acceleration Protocol
UDP,2408,Reserved
TCP,2409,SNS Protocol
UDP,2409,SNS Protocol
TCP,2410,VRTS Registry
UDP,2410,VRTS Registry
TCP,2411,Netwave AP Management
UDP,2411,Netwave AP Management
TCP,2412,CDN
UDP,2412,CDN
TCP,2413,orion-rmi-reg
UDP,2413,orion-rmi-reg
TCP,2414,Beeyond
UDP,2414,Beeyond
TCP,2415,Codima Remote Transaction Protocol
UDP,2415,Codima Remote Transaction Protocol
TCP,2416,RMT Server
UDP,2416,RMT Server
TCP,2417,Composit Server
UDP,2417,Composit Server
TCP,2418,cas
UDP,2418,cas
TCP,2419,Attachmate S2S
UDP,2419,Attachmate S2S
TCP,2420,DSL Remote Management
UDP,2420,DSL Remote Management
TCP,2421,G-Talk
UDP,2421,G-Talk
TCP,2422,CRMSBITS
UDP,2422,CRMSBITS
TCP,2423,RNRP
UDP,2423,RNRP
TCP,2424,KOFAX-SVR
UDP,2424,KOFAX-SVR
TCP,2425,Fujitsu App Manager
UDP,2425,Fujitsu App Manager
TCP,2426,VeloCloud MultiPath Protocol
UDP,2426,VeloCloud MultiPath Protocol
TCP,2427,Media Gateway Control Protocol Gateway
UDP,2427,Media Gateway Control Protocol Gateway
TCP,2428,One Way Trip Time
UDP,2428,One Way Trip Time
TCP,2429,FT-ROLE
UDP,2429,FT-ROLE
TCP,2430,venus
UDP,2430,venus
TCP,2431,venus-se
UDP,2431,venus-se
TCP,2432,codasrv
UDP,2432,codasrv
TCP,2433,codasrv-se
UDP,2433,codasrv-se
TCP,2434,pxc-epmap
UDP,2434,pxc-epmap
TCP,2435,OptiLogic
UDP,2435,OptiLogic
TCP,2436,TOP/X
UDP,2436,TOP/X
TCP,2437,UniControl
UDP,2437,UniControl
TCP,2438,MSP
UDP,2438,MSP
TCP,2439,SybaseDBSynch
UDP,2439,SybaseDBSynch
TCP,2440,Spearway Lockers
UDP,2440,Spearway Lockers
TCP,2441,Pervasive I*net Data Server
UDP,2441,Pervasive I*net Data Server
TCP,2442,Netangel
UDP,2442,Netangel
TCP,2443,PowerClient Central Storage Facility
UDP,2443,PowerClient Central Storage Facility
TCP,2444,BT PP2 Sectrans
UDP,2444,BT PP2 Sectrans
TCP,2445,DTN1
UDP,2445,DTN1
TCP,2446,bues_service
UDP,2446,bues_service
TCP,2447,OpenView NNM daemon
UDP,2447,OpenView NNM daemon
TCP,2448,hpppsvr
UDP,2448,hpppsvr
TCP,2449,RATL
UDP,2449,RATL
TCP,2450,netadmin
UDP,2450,netadmin
TCP,2451,netchat
UDP,2451,netchat
TCP,2452,SnifferClient
UDP,2452,SnifferClient
TCP,2453,madge ltd
UDP,2453,madge ltd
TCP,2454,IndX-DDS
UDP,2454,IndX-DDS
TCP,2455,WAGO-IO-SYSTEM
UDP,2455,WAGO-IO-SYSTEM
TCP,2456,altav-remmgt
UDP,2456,altav-remmgt
TCP,2457,Rapido_IP
UDP,2457,Rapido_IP
TCP,2458,griffin
UDP,2458,griffin
TCP,2459,Community
UDP,2459,Community
TCP,2460,ms-theater
UDP,2460,ms-theater
TCP,2461,qadmifoper
UDP,2461,qadmifoper
TCP,2462,qadmifevent
UDP,2462,qadmifevent
TCP,2463,LSI RAID Management
UDP,2463,LSI RAID Management
TCP,2464,DirecPC SI
UDP,2464,DirecPC SI
TCP,2465,Load Balance Management
UDP,2465,Load Balance Management
TCP,2466,Load Balance Forwarding
UDP,2466,Load Balance Forwarding
TCP,2467,High Criteria
UDP,2467,High Criteria
TCP,2468,qip_msgd
UDP,2468,qip_msgd
TCP,2469,MTI-TCS-COMM
UDP,2469,MTI-TCS-COMM
TCP,2470,taskman port
UDP,2470,taskman port
TCP,2471,SeaODBC
UDP,2471,SeaODBC
TCP,2472,C3
UDP,2472,C3
TCP,2473,Aker-cdp
UDP,2473,Aker-cdp
TCP,2474,Vital Analysis
UDP,2474,Vital Analysis
TCP,2475,ACE Server
UDP,2475,ACE Server
TCP,2476,ACE Server Propagation
UDP,2476,ACE Server Propagation
TCP,2477,SecurSight Certificate Valifation Service
UDP,2477,SecurSight Certificate Valifation Service
TCP,2478,SecurSight Authentication Server (SSL)
UDP,2478,SecurSight Authentication Server (SSL)
TCP,2479,SecurSight Event Logging Server (SSL)
UDP,2479,SecurSight Event Logging Server (SSL)
TCP,2480,Informatica PowerExchange Listener
UDP,2480,Informatica PowerExchange Listener
TCP,2481,Oracle GIOP
UDP,2481,Oracle GIOP
TCP,2482,Oracle GIOP SSL
UDP,2482,Oracle GIOP SSL
TCP,2483,Oracle TTC
UDP,2483,Oracle TTC
TCP,2484,Oracle TTC SSL
UDP,2484,Oracle TTC SSL
TCP,2485,Net Objects1
UDP,2485,Net Objects1
TCP,2486,Net Objects2
UDP,2486,Net Objects2
TCP,2487,Policy Notice Service
UDP,2487,Policy Notice Service
TCP,2488,Moy Corporation
UDP,2488,Moy Corporation
TCP,2489,TSILB
UDP,2489,TSILB
TCP,2490,qip_qdhcp
UDP,2490,qip_qdhcp
TCP,2491,Conclave CPP
UDP,2491,Conclave CPP
TCP,2492,GROOVE
UDP,2492,GROOVE
TCP,2493,Talarian MQS
UDP,2493,Talarian MQS
TCP,2494,BMC AR
UDP,2494,BMC AR
TCP,2495,Fast Remote Services
UDP,2495,Fast Remote Services
TCP,2496,DIRGIS
UDP,2496,DIRGIS
TCP,2497,Quad DB
UDP,2497,Quad DB
TCP,2498,ODN-CasTraq
UDP,2498,ODN-CasTraq
TCP,2499,UniControl
UDP,2499,UniControl
TCP,2500,Resource Tracking system server
UDP,2500,Resource Tracking system server
TCP,2501,Resource Tracking system client
UDP,2501,Resource Tracking system client
TCP,2502,Kentrox Protocol
UDP,2502,Kentrox Protocol
TCP,2503,NMS-DPNSS
UDP,2503,NMS-DPNSS
TCP,2504,WLBS
UDP,2504,WLBS
TCP,2505,PowerPlay Control
UDP,2505,PowerPlay Control
TCP,2506,jbroker
UDP,2506,jbroker
TCP,2507,spock
UDP,2507,spock
TCP,2508,JDataStore
UDP,2508,JDataStore
TCP,2509,fjmpss
UDP,2509,fjmpss
TCP,2510,fjappmgrbulk
UDP,2510,fjappmgrbulk
TCP,2511,Metastorm
UDP,2511,Metastorm
TCP,2512,Citrix IMA
UDP,2512,Citrix IMA
TCP,2513,Citrix ADMIN
UDP,2513,Citrix ADMIN
TCP,2514,Facsys NTP
UDP,2514,Facsys NTP
TCP,2515,Facsys Router
UDP,2515,Facsys Router
TCP,2516,Main Control
UDP,2516,Main Control
TCP,2517,H.323 Annex E Call Control Signalling Transport
UDP,2517,H.323 Annex E Call Control Signalling Transport
TCP,2518,Willy
UDP,2518,Willy
TCP,2519,globmsgsvc
UDP,2519,globmsgsvc
TCP,2520,Pervasive Listener
UDP,2520,Pervasive Listener
TCP,2521,Adaptec Manager
UDP,2521,Adaptec Manager
TCP,2522,WinDb
UDP,2522,WinDb
TCP,2523,Qke LLC V.3
UDP,2523,Qke LLC V.3
TCP,2524,Optiwave License Management
UDP,2524,Optiwave License Management
TCP,2525,MS V-Worlds
UDP,2525,MS V-Worlds
TCP,2526,EMA License Manager
UDP,2526,EMA License Manager
TCP,2527,IQ Server
UDP,2527,IQ Server
TCP,2528,NCR CCL
UDP,2528,NCR CCL
TCP,2529,UTS FTP
UDP,2529,UTS FTP
TCP,2530,VR Commerce
UDP,2530,VR Commerce
TCP,2531,ITO-E GUI
UDP,2531,ITO-E GUI
TCP,2532,OVTOPMD
UDP,2532,OVTOPMD
TCP,2533,SnifferServer
UDP,2533,SnifferServer
TCP,2534,Combox Web Access
UDP,2534,Combox Web Access
TCP,2535,MADCAP
UDP,2535,MADCAP
TCP,2536,btpp2audctr1
UDP,2536,btpp2audctr1
TCP,2537,Upgrade Protocol
UDP,2537,Upgrade Protocol
TCP,2538,vnwk-prapi
UDP,2538,vnwk-prapi
TCP,2539,VSI Admin
UDP,2539,VSI Admin
TCP,2540,LonWorks
UDP,2540,LonWorks
TCP,2541,LonWorks2
UDP,2541,LonWorks2
TCP,2542,uDraw(Graph)
UDP,2542,uDraw(Graph)
TCP,2543,REFTEK
UDP,2543,REFTEK
TCP,2544,Management Daemon Refresh
UDP,2544,Management Daemon Refresh
TCP,2545,sis-emt
UDP,2545,sis-emt
TCP,2546,vytalvaultbrtp
UDP,2546,vytalvaultbrtp
TCP,2547,vytalvaultvsmp
UDP,2547,vytalvaultvsmp
TCP,2548,vytalvaultpipe
UDP,2548,vytalvaultpipe
TCP,2549,IPASS
UDP,2549,IPASS
TCP,2550,ADS
UDP,2550,ADS
TCP,2551,ISG UDA Server
UDP,2551,ISG UDA Server
TCP,2552,Call Logging
UDP,2552,Call Logging
TCP,2553,efidiningport
UDP,2553,efidiningport
TCP,2554,VCnet-Link v10
UDP,2554,VCnet-Link v10
TCP,2555,Compaq WCP
UDP,2555,Compaq WCP
TCP,2556,nicetec-nmsvc
UDP,2556,nicetec-nmsvc
TCP,2557,nicetec-mgmt
UDP,2557,nicetec-mgmt
TCP,2558,PCLE Multi Media
UDP,2558,PCLE Multi Media
TCP,2559,LSTP
UDP,2559,LSTP
TCP,2560,labrat
UDP,2560,labrat
TCP,2561,MosaixCC
UDP,2561,MosaixCC
TCP,2562,Delibo
UDP,2562,Delibo
TCP,2563,CTI Redwood
UDP,2563,CTI Redwood
TCP,2564,HP 3000 NS/VT block mode telnet
UDP,2564,HP 3000 NS/VT block mode telnet
TCP,2565,Coordinator Server
UDP,2565,Coordinator Server
TCP,2566,pcs-pcw
UDP,2566,pcs-pcw
